round,start_utc,end_utc,votes_tts,profiles,settled,next_round_opened_utc,gap_after_close_h,closed_by
1,2026-06-24T00:56:09.000Z,2026-06-29T04:59:00.000Z,0,0,true,2026-06-29T04:59:13.000Z,0.0,automatic (keeper)
2,2026-06-29T04:59:13.000Z,2026-07-06T04:59:00.000Z,0,16,true,2026-07-06T04:59:55.000Z,0.0,automatic (keeper)
3,2026-07-06T04:59:55.000Z,2026-07-13T04:59:00.000Z,0,16,true,2026-07-13T04:59:55.000Z,0.0,automatic (keeper)
4,2026-07-13T04:59:55.000Z,2026-07-20T04:59:00.000Z,10,18,true,2026-08-02T20:41:45.000Z,327.7,manual rescue
5,2026-08-02T20:41:45.000Z,2026-08-03T04:59:00.000Z,5,18,true,2026-08-03T04:59:37.000Z,0.0,automatic (keeper)
6,2026-08-03T04:59:37.000Z,2026-08-10T04:59:00.000Z,0,18,true,2026-08-10T22:43:49.000Z,17.7,manual rescue
7,2026-08-10T22:43:49.000Z,2026-08-17T04:59:00.000Z,5,18,true,2026-08-17T23:33:33.000Z,18.6,manual rescue
8,2026-08-17T23:33:33.000Z,2026-08-24T04:59:00.000Z,0,18,true,2026-08-25T18:20:25.000Z,37.4,manual rescue
9,2026-08-25T18:20:25.000Z,2026-08-31T04:59:00.000Z,0,20,true,2026-08-31T05:28:43.000Z,0.5,automatic (keeper)
10,2026-08-31T05:28:43.000Z,2026-09-07T04:59:00.000Z,0,21,true,2026-09-07T05:31:35.000Z,0.5,automatic (keeper)
11,2026-09-07T05:31:35.000Z,2026-09-14T04:59:00.000Z,0,21,true,2026-09-14T05:26:23.000Z,0.5,automatic (keeper)
12,2026-09-14T05:26:23.000Z,2026-09-21T04:59:00.000Z,0,21,true,2026-09-21T05:27:27.000Z,0.5,automatic (keeper)
13,2026-09-21T05:27:27.000Z,2026-09-28T04:59:00.000Z,0,21,false,,,in flight
